number,yearnumber,month,minimumpressure,maximumspeed,koreaeffect
088,0313,08,950,41,0
089,0314,09,910,57,1
090,0315,09,955,36,0
091,0316,09,960,33,0
092,0317,10,940,44,0
093,0318,10,935,44,0
094,0319,10,980,28,0
095,0320,11,970,31,0
096,0321,11,915,51,0
097,0401,04,940,47,0
098,0402,05,930,47,0
099,0403,05,985,23,0
100,0404,06,960,39,0
101,0405,06,970,33,0
102,0406,06,915,55,0
103,0407,06,940,46,1
104,0408,06,955,41,0
105,0409,07,992,23,0
106,0410,07,935,44,1
107,0411,08,996,21,0
108,0412,08,960,39,0
109,0413,08,950,41,0
110,0414,08,990,21,0
111,0415,08,970,33,1
112,0416,08,910,57,1
113,0417,08,955,41,0
114,0418,08,925,46,1
115,0419,09,980,28,0
116,0420,09,996,21,0
117,0421,09,940,46,0
118,0422,10,920,51,0
119,0423,10,940,41,0
120,0424,10,945,45,0
121,0425,11,950,40,0
122,0426,11,1000,18,0
123,0427,11,935,45,0
124,0428,12,994,21,0
125,0429,12,990,21,0
126,0501,01,985,26,0
127,0502,03,980,26,0
128,0503,04,935,45,0
129,0504,06,930,43,0
130,0505,07,920,54,0
131,0506,07,990,23,0
132,0507,07,975,28,0
133,0508,07,985,23,0
134,0509,07,950,41,0
135,0510,08,985,25,0
136,0511,08,930,49,0
137,0512,08,980,28,0
138,0513,08,925,49,0
139,0514,08,895,49,1
140,0515,09,945,43,0
141,0516,09,990,21,0
142,0517,09,950,41,0
143,0518,09,955,36,0
144,0519,09,930,49,0
145,0520,10,940,47,0
146,0521,10,950,42,0
147,0522,11,1000,18,0
148,0523,11,985,31,0
149,0601,05,914,52,0
150,0602,06,996,21,0
151,0603,07,930,51,1
152,0604,07,970,31,0
153,0605,07,955,39,0
154,0606,08,965,35,0
155,0607,08,965,35,0
156,0608,08,925,47,0
157,0609,08,980,28,0
158,0610,08,980,23,1
159,0611,08,992,22,0
160,0612,08,920,54,0
161,0613,09,919,52,1
162,0614,09,910,54,0
163,0615,09,940,46,0
164,0616,10,980,21,0
165,0617,10,985,23,0
166,0618,10,955,39,0
167,0619,10,920,54,0
168,0620,11,925,51,0
169,0621,11,915,51,0
170,0622,12,945,39,0
171,0623,12,1000,18,0
172,0701,04,960,39,0
173,0702,05,935,49,0
174,0703,07,994,17,0
175,0704,07,930,49,1
176,0705,07,945,45,1
177,0706,08,975,31,0
178,0707,08,990,21,0
179,0708,08,910,57,0
180,0709,08,965,35,0
181,0710,09,990,25,0
182,0711,09,935,48,1
183,0712,09,925,51,0
184,1713,09,990,23,0
185,1714,09,975,30,0
186,1715,10,925,51,0
187,1716,10,999,19,0
188,1717,10,985,18,0
189,1718,10,994,21,0
190,1719,10,945,45,0
191,1720,10,975,28,0
192,1721,11,970,35,0
193,1722,11,996,18,0
194,1723,11,955,41,0
195,0724,11,970,35,0
196,0801,04,960,39,0
197,0802,05,910,54,0
198,0803,05,992,23,0
199,0804,05,975,30,0
200,0805,05,930,49,0
201,0806,06,945,46,0
202,0807,07,970,39,1
203,0808,07,960,38,0
204,0809,08,975,25,0
205,0810,08,996,21,0
206,0811,08,992,20,0
207,0812,08,955,39,0
208,0813,09,935,48,0
209,0814,09,935,48,0
210,0815,09,905,59,0
211,0816,09,990,27,0
212,0817,09,996,21,0
213,0818,10,992,23,0
214,0819,11,985,26,0
215,0820,11,1004,18,0
216,0821,11,994,21,0
217,0822,12,970,36,0
218,0901,05,940,46,0
219,0902,05,975,40,0
220,0903,06,975,34,0
221,0904,06,994,21,0
222,0905,07,992,18,0
223,0906,07,975,34,0
224,0907,08,990,24,0
225,0908,08,945,41,0
226,0909,08,992,24,0
227,0910,08,945,45,0
228,0911,08,975,31,0
229,0912,09,980,31,0
230,0913,09,994,18,0
231,0914,09,915,54,0
232,0915,09,975,31,0
233,0916,09,960,40,0
234,0917,09,920,53,0
235,0918,09,910,57,0
236,0919,10,992,27,0
237,0920,10,930,50,0
238,0921,10,955,41,0
239,0922,11,905,57,0
240,1001,03,998,18,0
241,1002,07,970,34,0
242,1003,07,970,36,0
243,1004,08,980,31,1
244,1005,08,985,24,0
245,1006,08,985,27,0
246,1007,08,960,40,1
247,1008,08,996,20,0
248,1009,09,992,24,1
249,1010,09,985,24,0
250,1011,09,930,48,0
251,1012,09,945,41,0
252,1013,10,880,65,0
253,1014,10,930,48,0
254,1101,05,992,24,0
255,1102,05,920,53,0
256,1103,06,996,19,0
257,1104,06,985,24,0
258,1105,06,975,36,1
259,1106,07,935,48,0
260,1107,07,1000,18,0
261,1108,07,985,27,0
262,1109,07,930,50,1
263,1110,08,980,31,0
264,1111,08,925,53,0
265,1112,08,970,38,1
266,1113,09,992,22,0
267,1114,09,1000,18,0
268,1115,09,940,46,0
269,1116,09,970,36,0
270,1117,09,950,43,0
271,1118,09,996,19,0
272,1119,09,935,49,0
273,1120,10,1002,18,0
274,1121,12,992,24,0
275,1201,03,998,20,0
276,1202,05,975,32,0
277,1203,06,960,38,0
278,1204,06,930,47,0
279,1205,06,985,27,0
280,1206,06,992,22,0
281,1207,07,985,25,1
282,1208,07,950,40,0
283,1209,07,960,40,0
284,1210,07,965,34,1
285,1211,08,965,38,0
286,1212,08,990,22,0
287,1213,08,970,36,0
288,1214,08,940,45,1
289,1215,08,910,53,1
290,1216,09,905,56,1
291,1217,09,905,57,0
292,1218,09,985,27,0
293,1219,10,985,27,0
294,1220,10,990,24,0
295,1221,10,940,45,0
296,1222,10,990,24,0
297,1223,10,945,41,0
298,1224,11,930,50,0
299,1225,12,998,18,0
300,1301,01,990,22,0
301,1302,02,1002,18,0
302,1303,06,990,24,0
303,1304,06,994,22,1
304,1305,06,990,24,0
305,1306,06,985,27,0
306,1307,07,925,51,0
307,1308,07,1000,19,0
308,1309,07,985,31,0
309,1310,08,992,22,0
310,1311,08,925,50,0
311,1312,08,965,36,0
312,1313,08,990,31,0
313,1314,08,1000,18,0
314,1315,08,980,27,1
315,1316,09,1002,18,0
316,1317,09,985,27,0
317,1318,09,970,34,0
318,1319,09,910,54,0
319,1320,09,965,38,0
320,1321,09,965,38,0
321,1322,09,992,21,0
322,1323,09,955,41,0
323,1324,10,935,48,1
324,1325,10,960,40,0
325,1326,10,930,47,0
326,1327,10,915,53,0
327,1328,10,900,59,0
328,1329,10,955,41,0
329,1330,11,880,64,0
330,1331,11,1002,18,0
331,1401,01,1002,18,0
332,1402,01,1000,18,0
333,1403,02,975,34,0
334,1404,04,998,18,0
335,1405,04,985,31,0
336,1406,06,994,21,0
337,1407,06,994,21,0
338,1408,07,925,54,1
339,1409,07,935,51,0
340,1410,07,960,38,0
341,1411,07,920,54,1
342,1412,07,980,25,1
343,1413,08,915,54,0
344,1414,09,975,31,0
345,1415,09,960,38,0
346,1416,09,985,31,0
347,1417,09,985,27,0
348,1418,09,935,48,0
349,1419,10,900,59,1
350,1420,10,910,59,0
351,1421,11,990,27,0
352,1422,12,905,59,0
353,1423,12,996,18,0
354,1501,01,975,36,0
355,1502,02,940,43,0
356,1503,03,990,27,0
357,1504,03,915,54,0
358,1505,04,998,19,0
359,1506,05,915,53,0
360,1507,05,925,51,0
361,1508,06,985,24,0
362,1509,06,935,49,1
363,1510,07,980,29,0
364,1511,07,925,53,1
365,1512,07,955,39,1
366,1513,07,900,58,0
367,1514,08,990,24,0
368,1515,08,935,50,1
369,1516,08,925,53,0
370,1517,09,940,45,0
371,1518,09,985,27,0
372,1519,09,996,21,0
373,1520,09,945,43,0
374,1521,09,925,53,0
375,1522,10,955,40,0
376,1523,10,955,35,0
377,1524,10,920,50,0
378,1525,10,940,49,0
379,1526,11,935,49,0
380,1527,12,935,49,0
381,1601,07,900,59,0
382,1602,07,1000,19,0
383,1603,07,980,24,0
384,1604,07,975,37,0
385,1605,08,975,29,0
386,1606,08,985,27,0
387,1607,08,980,27,0
388,1608,08,985,24,0
389,1609,08,975,27,0
390,1610,08,940,47,0
391,1611,08,994,21,0
392,1612,09,955,39,0
393,1613,09,1000,19,0
394,1614,09,890,61,0
395,1615,09,996,20,0
396,1616,09,930,49,1
397,1617,09,940,45,0
398,1618,09,905,50,1
399,1619,10,975,29,0
400,1620,10,925,49,0
401,1621,10,935,47,0
402,1622,10,900,56,0
403,1623,11,955,40,0
404,1624,11,998,19,0
405,1625,11,994,27,0
406,1626,12,915,53,0
407,1701,04,1002,18,0
408,1702,06,990,21,0
409,1703,07,985,27,1
410,1704,07,990,24,0
411,1705,07,935,49,1
412,1706,07,1002,18,0
413,1707,07,1002,18,0
414,1708,07,994,19,0
415,1709,07,960,39,0
416,1710,07,985,24,0
417,1711,08,990,23,0
418,1712,08,955,35,0
419,1713,08,960,37,0
420,1714,08,985,27,0
421,1715,08,955,39,0
422,1716,09,990,24,0
423,1717,09,1000,18,0
424,1718,09,935,47,1
425,1719,09,955,39,0
426,1720,10,950,40,0
427,1721,10,915,51,0
428,1722,10,975,35,0
429,1723,11,970,37,0
430,1724,11,998,24,0
431,1725,11,1000,21,0
432,1726,12,994,20,0
433,1727,12,970,35,0
434,1801,01,1002,18,0
435,1802,02,1002,19,0
436,1803,03,915,54,0
437,1804,06,998,20,0
438,1805,06,970,32,0
439,1806,06,990,18,0
440,1807,06,960,32,1
441,1808,07,915,50,0
442,1809,07,994,21,0
443,1810,07,985,27,0
444,1811,07,990,27,0
445,1812,07,965,39,0
446,1813,08,970,37,0
447,1814,08,990,21,0
448,1815,08,994,21,0
449,1816,08,980,22,0
450,1817,08,998,20,0
451,1818,08,985,20,1
452,1819,08,950,43,1
453,1820,08,950,43,0
454,1821,08,915,56,0
455,1822,09,905,58,0
456,1823,09,998,20,0
457,1824,09,915,53,1
458,1825,09,915,53,1
459,1826,10,899,60,0
460,1827,11,1004,18,0
461,1828,11,955,40,0
462,1829,11,975,29,0
463,1901,01,994,23,0
464,1902,02,920,50,0
465,1903,06,994,19,0
466,1904,07,992,18,0
467,1905,07,985,24,1
468,1906,07,998,18,0
469,1907,07,985,22,0
470,1908,08,970,32,1
471,1909,08,925,50,1
472,1910,08,950,43,1
473,1911,08,985,27,0
474,1912,08,992,24,0
475,1913,09,940,47,1
476,1914,09,996,18,0
477,1915,09,955,39,0
478,1916,09,1000,18,0
479,1917,09,970,37,1
480,1918,09,965,37,1
481,1919,10,915,55,0
482,1920,10,970,37,0
483,1921,10,935,50,0
484,1922,10,992,23,0
485,1923,11,905,56,0
486,1924,11,975,32,0
487,1925,11,965,37,0
488,1926,11,980,29,0
489,1927,11,990,24,0
490,1928,11,950,43,0
